model,seed,arm,phase,evaluation_set,family,depth,score_key,method,target_control,tasks,rows,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-8B,0,atomic_control,,dev_C,C,3,score,train_antifrequency,task_blind,200,200,0.014179615320010273,0.0011873236021688425,0.0,0.0,0.0,0.0,0.3766666666666667,0.8457142857142855,1.0,0.0011873236021688425,0.009447212271611634,0.018778073417212424,0.03709755052038183,0.07241363541682257,0.11014106533919668,0.13516137344557785
Qwen/Qwen3-8B,0,atomic_control,,dev_C,C,3,score,train_unseen_first,task_blind,200,200,0.0139427801280884,0.008944282379610966,0.0,0.0,0.0,0.0,0.358549947234824,0.8043575934481997,1.0,0.008944282379610966,0.06872441286090299,0.13140809649694923,0.24108764878545877,0.4111741170609642,0.5472500862783856,0.6182362794937434
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,raw,own_target,200,200,0.01978414636416215,0.00010196885227528062,0.0,0.0,0.015,0.2,0.46,0.77,1.0,0.00010196885227528062,0.0007967325597311834,0.001552136488281216,0.0029515667415409698,0.005379321698550527,0.007658592530096808,0.009031756284944101
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,unigram,own_target,200,200,0.06320699207125843,0.01586519514577204,0.015,0.125,0.17,0.255,0.43,0.725,1.0,0.01586519514577204,0.06436521650745328,0.08349939910838651,0.10204119953993579,0.12097371605468396,0.13236350582549256,0.13755374225946082
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,unigram,minus_bias_only,200,200,0.04303592343398325,0.0035611781799067726,0.0,0.035,0.225,0.365,0.635,0.79,1.0,0.0035611781799067726,0.02362833495282889,0.039422941765201835,0.059735499725039214,0.08482252385228303,0.10531865935804706,0.11698638985999027
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,unigram,shuffled_program_bias,200,200,0.03610306417540024,0.002138634432785482,0.0,0.075,0.125,0.16,0.405,0.745,1.0,0.002138634432785482,0.009337562731628812,0.013264607729503308,0.0186167640544334,0.02509307804113364,0.029595630550770923,0.032003684351318056
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,positional,own_target,200,200,0.06291581125738178,0.01598866773400162,0.025,0.105,0.14,0.24,0.44,0.745,1.0,0.01598866773400162,0.06551520146861506,0.08595533660734461,0.10567305592463082,0.12517805595872075,0.1383717511758479,0.14533969384089876
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,positional,minus_bias_only,200,200,0.050429284111498884,0.007355056617647919,0.0,0.13,0.22,0.375,0.535,0.88,1.0,0.007355056617647919,0.04875325598302235,0.08077110456301682,0.11910825345344493,0.15747158684283102,0.18200089111232345,0.19418995211137177
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,positional,shuffled_program_bias,200,200,0.03410323478555164,0.0014453952314432354,0.0,0.075,0.13,0.205,0.51,0.745,1.0,0.001445395231443235,0.0077549813495339836,0.010870626805355811,0.013523489808820613,0.016567386402056034,0.01928591822309783,0.020912682558889718
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,bigram,own_target,200,200,0.0729341746116611,0.016601501189975335,0.015,0.125,0.205,0.33,0.545,0.85,1.0,0.016601501189975335,0.0766026904753017,0.108655047676088,0.14331770374715905,0.1797361766988479,0.2054028925601451,0.21936371923316916
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,bigram,minus_bias_only,200,200,0.07068665602076198,0.017998000536453295,0.0,0.14,0.295,0.44,0.535,1.0,1.0,0.017998000536453295,0.08788670821837348,0.12261314665922399,0.16379597024076495,0.21784932480137134,0.25747439372939396,0.277050076686117
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,bigram,shuffled_program_bias,200,200,0.02991678557991718,0.00028248675421520405,0.0,0.065,0.125,0.225,0.495,0.735,1.0,0.00028248675421520405,0.002106506493499259,0.003902773332928858,0.006777390614952734,0.010663094609980885,0.0134597081175618,0.01491684908014192
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,positional_bigram,own_target,200,200,0.0729341746116611,0.01660150118997529,0.015,0.125,0.205,0.33,0.545,0.85,1.0,0.01660150118997529,0.07660269047530148,0.10865504767608762,0.14331770374715852,0.17973617669884734,0.20540289256014455,0.21936371923316855
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,positional_bigram,minus_bias_only,200,200,0.07068665602076198,0.0179980005364532,0.0,0.14,0.295,0.44,0.535,1.0,1.0,0.0179980005364532,0.08788670821837366,0.12261314665922458,0.1637959702407658,0.21784932480137215,0.2574743937293946,0.2770500766861175
Qwen/Qwen3-8B,0,atomic_control,,dev_D,D,3,score,positional_bigram,shuffled_program_bias,200,200,0.02991678557991718,0.00028248675421519304,0.0,0.065,0.125,0.225,0.495,0.735,1.0,0.00028248675421519304,0.0021065064934991853,0.003902773332928738,0.006777390614952573,0.01066309460998074,0.013459708117561708,0.014916849080141858
