split,depth,k,atomic_control,composition,delta,delta_ci95_low,delta_ci95_high,sign_flip_p
capacity_d3_heldout,3,64,0.6833333333333332,0.9922222222222222,0.30888888888888894,0.19168796861164247,0.42608980916613537,
capacity_d3_heldout,3,65,0.6944444444444445,0.9922222222222222,0.29777777777777775,0.20544663693415982,0.3901089186213957,
capacity_d3_heldout,3,66,0.7022222222222222,0.9933333333333333,0.2911111111111111,0.19990068646685238,0.3823215357553698,
capacity_d3_heldout,3,67,0.71,0.9944444444444445,0.28444444444444444,0.19211330360082657,0.3767755852880623,
capacity_d3_heldout,3,68,0.7188888888888889,0.9944444444444445,0.27555555555555555,0.16622422580762483,0.38488688530348625,
capacity_d3_heldout,3,69,0.7255555555555556,0.9955555555555556,0.27,0.1642821760080561,0.3757178239919439,
capacity_d3_heldout,3,70,0.7377777777777778,0.9955555555555556,0.2577777777777778,0.1475097512689626,0.36804580428659295,
capacity_d3_heldout,3,71,0.7455555555555556,0.9966666666666667,0.2511111111111111,0.16492536090207344,0.3372968613201488,
capacity_d3_heldout,3,72,0.7566666666666667,0.9977777777777778,0.24111111111111114,0.1499006864668524,0.3323215357553699,
capacity_d3_heldout,3,73,0.7666666666666666,0.9977777777777778,0.23111111111111113,0.11687278262701553,0.3453494395952067,
capacity_d3_heldout,3,74,0.7711111111111112,0.9977777777777778,0.22666666666666666,0.12491468247569566,0.32841865085763766,
capacity_d3_heldout,3,75,0.7766666666666667,0.9977777777777778,0.22111111111111112,0.12877997026749324,0.31344225195472897,
capacity_d3_heldout,3,76,0.7833333333333333,0.9977777777777778,0.21444444444444444,0.13618059900475704,0.29270828988413183,
capacity_d3_heldout,3,77,0.791111111111111,0.9977777777777778,0.20666666666666667,0.1409425605893824,0.27239077274395096,
capacity_d3_heldout,3,78,0.7999999999999999,0.9977777777777778,0.19777777777777775,0.13507915385166158,0.2604764017038939,
capacity_d3_heldout,3,79,0.8044444444444444,0.9977777777777778,0.19333333333333333,0.12760922725604906,0.2590574394106176,
capacity_d3_heldout,3,80,0.8077777777777778,0.9977777777777778,0.19000000000000003,0.11781263168427965,0.2621873683157204,
capacity_d3_heldout,3,81,0.8155555555555555,0.9977777777777778,0.1822222222222222,0.11478179325470621,0.24966265118973818,
capacity_d3_heldout,3,82,0.8222222222222223,0.9977777777777778,0.17555555555555555,0.11231250499560953,0.23879860611550158,
capacity_d3_heldout,3,83,0.8288888888888889,0.9977777777777778,0.16888888888888887,0.11072885598798803,0.2270489217897897,
capacity_d3_heldout,3,84,0.8322222222222222,0.9977777777777778,0.16555555555555557,0.10739552265465473,0.2237155884564564,
capacity_d3_heldout,3,85,0.8377777777777777,0.9988888888888888,0.16111111111111112,0.11550589878898178,0.20671632343324048,
capacity_d3_heldout,3,86,0.8388888888888889,0.9988888888888888,0.16,0.113896355253848,0.206103644746152,
capacity_d3_heldout,3,87,0.8466666666666667,0.9988888888888888,0.15222222222222223,0.11054482569305038,0.19389961875139408,
capacity_d3_heldout,3,88,0.8533333333333334,0.9988888888888888,0.14555555555555555,0.1082168976799282,0.1828942134311829,
