replicate,arm,task_id,task_fingerprint,best_rank,correct_programs,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
0,atomic_control,s4c-0fe0fd29e626d9e40353cd51,0fe0fd29e626d9e40353cd51a763ef07d26af61736aa0942e567be5479237859,24,3,0.7159677839484687,2.046165970924736,1.871735843904198e-07,0.10935672143569761
0,atomic_control,s4c-0fe263e187ebd3de5c7a2e29,0fe263e187ebd3de5c7a2e29518045e6aaecb6b85746d85d326a9923218068cc,8,1,1.1112855129476071,3.0382616097187753,0.0003220784341275637,-0.0
0,atomic_control,s4c-0fe86d93c935adf98e320318,0fe86d93c935adf98e320318eee894e3d85ec21e1ad628ad106bbf3edd6f1759,40,3,1.2221571358965844,3.394502244230355,5.182561389582529e-07,0.8745639525018316
0,atomic_control,s4c-100d3d809fe3a745119a21ce,100d3d809fe3a745119a21cebc20d673cb1e266a686eadf30e202b81392586b0,13,1,0.22373839274059604,1.2507437729745403,4.626678202695186e-06,-0.0
0,atomic_control,s4c-104d55e2008193623d56f67b,104d55e2008193623d56f67b25f421412596129e961813acb8689a1c4312b8b6,8,1,0.6392951769314256,1.895144666784128,1.951341146810138e-05,-0.0
0,atomic_control,s4c-10c708b2a5df5cbcc9399e07,10c708b2a5df5cbcc9399e073d1fc1551f7c26f4b81a0c44b5223ea8447b22d3,34,1,0.9371363453296161,2.552661002159154,1.6031095995484716e-07,-0.0
0,atomic_control,s4c-10e22c86de4f3befa77452c7,10e22c86de4f3befa77452c7e4f3ae93345831b25d418f5c4fc000244c7d4a4d,18,2,0.4203142666608249,1.5224399325596467,4.085424497586313e-06,0.08320448663858794
0,atomic_control,s4c-11ea73b8df9b62bfc2af72d6,11ea73b8df9b62bfc2af72d6ae3f937da7fbe6df46fd8fc9cdfc01a282206f2a,80,1,1.368619589970679,3.929922045644921,3.071983570151316e-10,-0.0
0,atomic_control,s4c-1247bb09a36fc6fe2f7d949b,1247bb09a36fc6fe2f7d949b0fb79398c10a790d37532f3ed4e1f091975b0bd8,5,3,0.2664139645608743,1.3052752845720255,0.0006416893992176303,0.3917345782427064
0,atomic_control,s4c-1293161ece3a8b110ea9228a,1293161ece3a8b110ea9228a6eb003934ea3578edada1993991c06d675105e17,18,1,1.1662018514053718,3.209778242445896,2.977835378605286e-06,-0.0
